Item Number;Item Description;Bottle Volume (ml);Category;Vendor Number
10807;CROWN ROYAL REGAL APPLE;750;1012100;260
42167;MYERS'S RUM ORIGINAL DARK;1000;1062100;260
5347;JOHNNIE WALKER RED LABEL SCOTCH;1000;1012200;260
5014;GLENFIDDICH 15 YR SOLERA RESERVA;750;1012210;240
44419;CRUZAN BLACK CHERRY RUM;750;1062300;65
10552;BLACK VELVET CINNAMON RUSH MINI;600;1012100;115
28087;BEEFEATER GIN;1000;1042100;370
77735;VINIQ;750;1081900;205
44258;BLACKHEART PREMIUM SPICED RUM;750;1062310;259
52186;CHRISTIAN BROS GRAND RESERVE VSOP;750;1051010;259
35914;FIVE O'CLOCK VODKA;375;1031080;297
17958;EVAN WILLIAMS YR STR BOURBON;1750;1011200;259
43123;BACARDI SUPERIOR RUM;200;1062200;35
35418;BURNETT'S VODKA 80 PRF;1750;1031080;259
42777;RON ZACAPA 23 YEAR;750;1062200;260
54447;PARAMOUNT APRICOT FLAVORED BRANDY;1000;1051100;434
31473;NEW AMSTERDAM GIN;1750;1041100;205
42936;10 CANE RUM;750;1062050;420
36976;NIKOLAI VODKA;750;1031080;421
37938;SKOL VODKA;1750;1031080;55
25616;SEAGRAMS 7 CROWN PET FLASK;750;1011100;260
43156;BACARDI 151 PROOF RUM;750;1062200;35
64876;DRAMBUIE LIQUEUR;750;1082900;240
42718;MALIBU COCONUT RUM;1750;1062300;370
89610;OLMECA ALTOS REPOSADO;750;1022100;370
86884;SOUTHERN COMFORT;375;1081600;85
77375;SMIRNOFF SORBET LIGHT MANGO PASSION FRUIT;750;1031200;260
4131;MIDNIGHT MOON APPLE PIE W/POURER & 2 SHOT GLASSES;750;1701100;384
28718;PINNACLE GIN;1750;1042100;65
52580;E & J VSOP SUPERIOR RESERVE;200;1051010;205
53213;PAUL MASSON GRANDE AMBER BRANDY;200;1051010;115
43316;CAPTAIN MORGAN PRIVATE STOCK RUM;750;1062310;260
36302;HAWKEYE VODKA;200;1031080;434
11346;SEAGRAMS V.O. BL CANADIAN WHISKY;750;1012100;260
16988;BOURBON SUPREME BOURBON;1750;1011200;434
35944;FLEISCHMANN'S ROYAL VODKA;375;1031080;55
22787;BEAM'S 8 STAR BL WHISKEY;1000;1011100;65
25601;SEAGRAMS 7 CROWN BL WHISKEY MINI;500;1011100;260
89386;JUAREZ TEQUILA GOLD;750;1022100;434
42687;MALIBU BLACK;750;1062300;370
41601;UV BLUE (RASPBERRY) VODKA;375;1031200;380
48099;HENNESSY VS;200;1052010;420
42714;MALIBU COCONUT RUM;375;1062300;370
43046;BACARDI SELECT RUM;750;1062200;35
89916;TORTILLA GOLD TEQUILA;750;1022100;421
54444;PARAMOUNT APRICOT FLAVORED BRANDY;375;1051100;434
12862;RICH & RARE CARAMEL;750;1012100;421
34821;SVEDKA VODKA;1750;1032080;115
